ID_ESTADO|CLAVE|NOMBRE|COLOR_HEX|BG_LIGHT|COLOR_TEXTO|BADGE_CLASS|ES_FINAL|ES_VENCIBLE|ORDEN
1|PROGRAMADA|Programada|#0A2A66|#f0f4f8|#0A2A66|bg-navy text-white|0|1|1
2|CONFIRMADA|Confirmada|#10b981|#ecfdf5|#065f46|bg-success text-white|0|1|2
3|ESPERA|En Sala de Espera|#f59e0b|#fef3c7|#92400e|bg-warning text-dark|0|1|3
4|EN_CONSULTA|En consulta|#059669|#dcfce7|#166534|bg-teal text-white|0|0|4
5|ATENDIDA|Atendida|#19B7A5|#e6fffa|#0d7468|bg-teal text-white|1|0|5
6|NO_REALIZADA|No realizada|#ef4444|#fff5f5|#991b1b|bg-danger text-white badge-no-realizada|1|0|6
7|CANCELADA|Cancelada|#dc2626|#fee2e2|#991b1b|bg-danger text-white|1|0|7
