ID_DEP|NOMBRE_DEP
1|CONSULTAS
2|SERVICIOS
3|LABORATORIO SANTIAGO
4|RAYOS X
5|LABORATORIO FRANCISCO
6|ULTRASONIDO
7|CIRUGIAS
8|PATOLOGIA DR PINEDO
9|PATOLOGIA DR GALLEGOS
