ID_PRECIO|ID_ITEM|TIPO_TARIFA|PRECIO_PUBLICO|COSTO_PROVEEDOR|ID_PROV
1414|685|PAQUETE_TODO_INCLUIDO|22000.0|0|17
1415|685|PAQUETE_SOLO_CLINICA|9000.0|0|17
1416|686|PAQUETE_TODO_INCLUIDO|18500.0|0|17
1417|686|PAQUETE_SOLO_CLINICA|8800.0|0|17
1418|687|PAQUETE_TODO_INCLUIDO|32000.0|0|17
1419|687|PAQUETE_SOLO_CLINICA|9200.0|0|17
1420|688|PAQUETE_TODO_INCLUIDO|28000.0|0|17
1421|688|PAQUETE_SOLO_CLINICA|8700.0|0|17
1422|689|PAQUETE_TODO_INCLUIDO|25000.0|0|17
1423|689|PAQUETE_SOLO_CLINICA|8800.0|0|17
1424|690|PAQUETE_TODO_INCLUIDO|19500.0|0|17
1425|690|PAQUETE_SOLO_CLINICA|9700.0|0|17
1426|691|PAQUETE_TODO_INCLUIDO|32000.0|0|17
1427|691|PAQUETE_SOLO_CLINICA|9500.0|0|17
1428|692|PAQUETE_TODO_INCLUIDO|9700.0|0|17
1429|692|PAQUETE_SOLO_CLINICA|10500.0|0|17
1430|693|PAQUETE_SOLO_CLINICA|11500.0|0|17
1431|694|PAQUETE_SOLO_CLINICA|11500.0|0|17
1432|695|PAQUETE_SOLO_CLINICA|8500.0|0|17
1433|696|PAQUETE_SOLO_CLINICA|4400.0|0|17
1434|697|PAQUETE_SOLO_CLINICA|10500.0|0|17
1435|698|PAQUETE_SOLO_CLINICA|4500.0|0|17
1436|699|PAQUETE_SOLO_CLINICA|2500.0|0|17
1437|700|PAQUETE_SOLO_CLINICA|9500.0|0|17
1438|701|PAQUETE_SOLO_CLINICA|11000.0|0|17
1439|702|NORMAL|220.0|150.0|18
1440|703|NORMAL|300.0|200.0|18
1441|704|NORMAL|730.0|500.0|18
1442|705|NORMAL|1300.0|800.0|18
1443|706|NORMAL|1500.0|1000.0|18
1444|707|NORMAL|1800.0|1200.0|18
1445|708|NORMAL|1950.0|1500.0|19
1446|709|NORMAL|1950.0|1500.0|19
1447|710|NORMAL|1950.0|1500.0|19
1448|711|NORMAL|1040.0|800.0|19
1449|712|NORMAL|1040.0|800.0|19
1450|713|NORMAL|1950.0|1500.0|19
1451|714|NORMAL|1950.0|1500.0|19
1452|715|NORMAL|1950.0|1500.0|19
1453|716|NORMAL|1040.0|800.0|19
1454|717|NORMAL|1040.0|800.0|19
1455|718|NORMAL|1950.0|1500.0|19
1456|719|NORMAL|1950.0|1500.0|19
1457|720|NORMAL|1040.0|800.0|19
1458|721|NORMAL|1040.0|800.0|19
1459|722|NORMAL|1040.0|800.0|19
1460|723|NORMAL|1950.0|1500.0|19
1461|724|NORMAL|1950.0|1500.0|19
1462|725|NORMAL|1040.0|800.0|19
1463|726|NORMAL|1040.0|800.0|19
1464|727|NORMAL|1040.0|800.0|19
1465|728|NORMAL|1040.0|800.0|19
1466|729|NORMAL|1040.0|800.0|19
1467|730|NORMAL|1040.0|800.0|19
1468|731|NORMAL|1040.0|800.0|19
1469|732|NORMAL|1040.0|800.0|19
1470|733|NORMAL|1040.0|800.0|19
1471|734|NORMAL|1950.0|1500.0|19
1472|735|NORMAL|2340.0|1800.0|19
1473|736|NORMAL|1950.0|1500.0|19
1474|737|NORMAL|1950.0|1500.0|19
1475|738|NORMAL|1040.0|800.0|19
1476|739|NORMAL|1040.0|800.0|19
1477|740|NORMAL|1040.0|800.0|19
1478|741|NORMAL|1950.0|1500.0|19
1479|742|NORMAL|2340.0|1800.0|19
1480|743|NORMAL|1950.0|1500.0|19
1481|744|NORMAL|1950.0|1500.0|19
1482|745|NORMAL|2340.0|1800.0|19
1483|746|NORMAL|1950.0|1500.0|19
1484|747|NORMAL|1040.0|800.0|19
1485|748|NORMAL|2340.0|1800.0|19
1486|749|NORMAL|1950.0|1500.0|19
1487|750|NORMAL|2340.0|1800.0|19
