CALIFICADOR!DESCRIPCION
0 NO hay dificultad!(ninguna, insignificante,…)
1 Dificultad LIGERA!(poca,escasa,…)
2 Dificultad MODERADA!(media,regular,…)
3 Dificultad GRAVE!(mucha,extrema,…)
4 Dificultad COMPLETA!(total,…)
8 sin especificar!
9 no aplicable!
