CLUES|SUBCLUES|CLAVE AREA|AREA|CLAVE SERVICIO|SERVICIO|UBICACION FISICA|DIAS Y HORAS DE SERVICIO
NLSSA014295|NLSSA014295-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
NLSSA014353|NLSSA014353-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
NTIMB000020|NTIMB000020-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
NTIMB000510|NTIMB000510-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
NTIMB000551|NTIMB000551-0203-01|02|SERVICIOS DE SANGRE|0203|CENTRO DE COLECTA||
NTIMB000551|NTIMB000551-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
NTIMB001246|NTIMB001246-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
NTIMB001724|NTIMB001724-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
NTIMB002622|NTIMB002622-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
NTIMB002634|NTIMB002634-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
NTIMS000016|NTIMS000016-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
NTIMS000062|NTIMS000062-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
NTIMS000144|NTIMS000144-0203-01|02|SERVICIOS DE SANGRE|0203|CENTRO DE COLECTA||
NTIMS000144|NTIMS000144-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
NTIMS000190|NTIMS000190-0201-01|02|SERVICIOS DE SANGRE|0201|BANCO DE SANGRE||
NTIMS000255|NTIMS000255-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
NTIMS000342|NTIMS000342-0201-01|02|SERVICIOS DE SANGRE|0201|BANCO DE SANGRE||
NTIST000120|NTIST000120-0201-01|02|SERVICIOS DE SANGRE|0201|BANCO DE SANGRE||
NTSMA000011|NTSMA000011-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
NTSMP000062|NTSMP000062-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
NTSMP000103|NTSMP000103-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
NTSMP000115|NTSMP000115-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
NTSMP000132|NTSMP000132-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
NTSMP000144|NTSMP000144-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
NTSMP000202|NTSMP000202-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
NTSMP000214|NTSMP000214-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
NTSMP000255|NTSMP000255-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
NTSMP000296|NTSMP000296-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
NTSMP000301|NTSMP000301-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
NTSMP000313|NTSMP000313-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
NTSMP000325|NTSMP000325-0201-01|02|SERVICIOS DE SANGRE|0201|BANCO DE SANGRE||
NTSMP000342|NTSMP000342-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
NTSMP000354|NTSMP000354-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
NTSMP000366|NTSMP000366-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
NTSMP000400|NTSMP000400-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
