CLUES|DOMINGO|LUNES|MARTES|MIERCOLES|JUEVES|VIERNES|SABADO|HORA INICIO|HORA FIN
ASSMP000475|SI|SI|SI|SI|SI|SI|SI|10:00|21:00
ASSMP000484|NO|SI|SI|SI|SI|SI|NO|09:00|21:00
ASSMP000493|SI|SI|SI|SI|SI|SI|SI|09:00|21:00
ASSMP000502|SI|SI|SI|SI|SI|SI|SI|09:00|21:00
ASSMP000511|NO|SI|SI|SI|SI|SI|NO|09:00|21:00
ASSMP000520|SI|SI|SI|SI|SI|SI|SI|09:00|21:00
ASSMP000535|SI|SI|SI|SI|SI|SI|SI|09:00|00:00
ASSMP000544|SI|SI|SI|SI|SI|SI|SI|09:00|21:00
ASSMP000553|SI|SI|SI|SI|SI|SI|SI|09:00|21:00
ASSMP000562|SI|SI|SI|SI|SI|SI|SI|09:00|21:00
ASSMP000571|SI|SI|SI|SI|SI|SI|SI|09:00|21:00
ASSMP000580|SI|SI|SI|SI|SI|SI|SI|09:00|21:00
ASSMP000595|SI|SI|SI|SI|SI|SI|SI|09:00|21:00
ASSMP000604|SI|SI|SI|SI|SI|SI|SI|09:00|00:00
ASSMP000613|SI|SI|SI|SI|SI|SI|SI|09:00|19:00
ASSMP000622|SI|SI|SI|SI|SI|SI|SI|09:00|21:00
ASSMP000631|SI|SI|SI|SI|SI|SI|SI|09:00|21:00
ASSMP000640|SI|SI|SI|SI|SI|SI|SI|09:00|21:00
ASSMP000655|SI|SI|SI|SI|SI|SI|SI|09:00|21:00
ASSMP000664|SI|SI|SI|SI|SI|SI|SI|09:00|21:00
ASSMP000673|SI|SI|SI|SI|SI|SI|SI|09:00|21:00
ASSMP000682|SI|SI|SI|SI|SI|SI|SI|09:00|21:00
ASSMP000691|SI|SI|SI|SI|SI|SI|SI|09:00|21:00
ASSMP000700|SI|SI|SI|SI|SI|SI|SI|09:00|21:00
ASSMP000715|SI|SI|SI|SI|SI|SI|SI|09:00|21:00
ASSMP000724|SI|SI|SI|SI|SI|SI|SI|09:00|00:00
ASSMP000733|SI|SI|SI|SI|SI|SI|SI|09:00|21:00
ASSMP000742|SI|SI|SI|SI|SI|SI|SI|09:00|15:00
ASSMP000751|SI|SI|SI|SI|SI|SI|SI|09:00|21:00
ASSMP000760|SI|SI|SI|SI|SI|SI|SI|09:00|19:00
ASSMP000775|SI|SI|SI|SI|SI|SI|SI|09:00|21:00
ASSMP000784|SI|SI|SI|SI|SI|SI|SI|09:00|00:00
ASSMP000793|SI|SI|SI|SI|SI|SI|SI|09:00|21:00
ASSMP000802|SI|SI|SI|SI|SI|SI|SI|09:00|21:00
ASSMP000811|SI|SI|SI|SI|SI|SI|SI|09:00|21:00
ASSMP000820|SI|SI|SI|SI|SI|SI|SI|09:00|21:00
ASSMP000835|NO|SI|SI|SI|SI|SI|NO|10:00|14:00
ASSMP000844|NO|SI|SI|SI|SI|SI|NO|09:00|13:00
ASSMP000851|NO|SI|SI|SI|SI|SI|NO|08:00|20:00
ASSMP000861|NO|SI|SI|SI|SI|SI|SI|07:00|15:30
ASSMP000873|NO|SI|SI|SI|SI|SI|SI|07:00|22:00
ASSMP000885|NO|SI|SI|SI|SI|SI|SI|07:00|22:00
ASSMP000890|SI|SI|SI|SI|SI|SI|SI|00:00|23:59
ASSMP000902|NO|SI|SI|SI|SI|SI|SI|08:00|15:00
ASSMP000914|NO|NO|NO|NO|NO|NO|SI|10:00|14:00
ASSMP000914|NO|SI|SI|SI|SI|SI|NO|10:00|20:00
ASSMP000914|NO|SI|SI|SI|SI|SI|NO|10:00|20:00
ASSMP000914|NO|NO|NO|NO|NO|NO|SI|10:00|14:00
ASSMP000926|NO|SI|SI|SI|SI|SI|NO|08:00|14:00
ASSMP000931|SI|SI|SI|SI|SI|SI|SI|00:00|23:59
ASSMP000931|NO|SI|SI|SI|SI|SI|NO|11:00|19:00
ASSMP000943|SI|SI|SI|SI|SI|SI|SI|00:00|23:59
ASSMP000960|NO|SI|SI|SI|SI|SI|SI|09:00|21:00
ASSMP000972|NO|SI|SI|SI|SI|SI|SI|09:00|22:00
ASSMP000984|NO|SI|SI|SI|SI|SI|SI|09:00|22:00
ASSMP000996|NO|SI|SI|SI|SI|SI|SI|09:00|22:00
ASSMP001001|NO|SI|SI|SI|SI|SI|SI|09:00|22:00
ASSMP001013|NO|SI|SI|SI|SI|SI|SI|09:00|22:00
ASSMP001025|SI|SI|NO|SI|SI|SI|SI|09:00|22:00
ASSMP001030|SI|SI|SI|SI|SI|SI|NO|09:00|22:00
ASSMP001042|SI|NO|NO|NO|NO|NO|NO|07:00|14:00
ASSMP001042|NO|SI|SI|SI|SI|SI|NO|07:00|19:00
ASSMP001042|NO|NO|NO|NO|NO|NO|SI|07:00|17:00
ASSMP001042|NO|SI|SI|SI|SI|SI|NO|07:00|19:00
ASSMP001042|NO|NO|NO|NO|NO|NO|SI|07:00|17:00
ASSMP001042|SI|NO|NO|NO|NO|NO|NO|07:00|14:00
ASSMP001054|SI|SI|SI|SI|SI|SI|SI|09:00|21:00
ASSMP001066|NO|SI|SI|SI|SI|SI|NO|07:00|19:00
ASSMP001066|SI|NO|NO|NO|NO|NO|NO|07:00|14:00
ASSMP001066|NO|NO|NO|NO|NO|NO|SI|07:00|17:00
ASSMP001066|NO|SI|SI|SI|SI|SI|NO|07:00|19:00
ASSMP001066|NO|NO|NO|NO|NO|NO|SI|07:00|17:00
ASSMP001066|SI|NO|NO|NO|NO|NO|NO|07:00|14:00
ASSMP001071|NO|SI|SI|SI|SI|SI|SI|07:00|21:00
ASSMP001083|SI|SI|SI|SI|SI|SI|SI|00:00|23:59
ASSMP001095|NO|SI|SI|SI|SI|SI|SI|09:00|22:00
ASSMP001100|NO|SI|SI|SI|SI|SI|SI|09:00|22:00
ASSMP001112|SI|SI|SI|SI|SI|SI|SI|00:00|23:59
ASSMP001124|SI|SI|SI|SI|SI|SI|SI|00:00|23:59
ASSMP001136|NO|SI|SI|SI|SI|SI|SI|09:00|15:00
ASSMP001141|NO|SI|SI|SI|SI|SI|NO|09:00|21:00
ASSMP001153|NO|SI|SI|SI|SI|SI|NO|09:00|15:00
ASSMP001165|NO|SI|SI|SI|SI|SI|SI|09:00|15:00
ASSMP001170|NO|SI|SI|SI|SI|SI|NO|09:00|21:00
ASSMP001182|NO|SI|SI|SI|SI|SI|SI|09:00|15:00
ASSMP001194|NO|SI|SI|SI|SI|SI|NO|09:00|15:00
ASSMP001206|NO|SI|SI|SI|SI|SI|NO|09:00|15:00
ASSMP001211|NO|SI|SI|SI|SI|SI|SI|09:00|15:00
ASSMP001223|NO|SI|SI|SI|SI|SI|SI|09:00|15:00
ASSMP001235|NO|SI|SI|SI|SI|SI|NO|09:00|21:00
ASSMP001240|NO|SI|SI|SI|SI|SI|NO|09:00|15:00
ASSMP001252|NO|SI|SI|SI|SI|SI|NO|09:00|15:00
ASSMP001264|NO|SI|SI|SI|SI|SI|SI|09:00|21:00
ASSMP001276|NO|SI|SI|SI|SI|SI|SI|09:00|21:00
ASSMP001281|NO|SI|SI|SI|SI|SI|SI|09:00|21:00
ASSMP001293|NO|SI|SI|SI|SI|SI|SI|09:00|15:00
ASSMP001305|NO|SI|SI|SI|SI|SI|SI|09:00|15:00
ASSMP001310|NO|SI|SI|SI|SI|SI|SI|16:00|21:00
ASSMP001322|NO|SI|SI|SI|SI|SI|SI|09:00|15:00
ASSMP001334|NO|SI|SI|SI|SI|SI|SI|09:00|21:00
ASSMP001346|NO|SI|SI|SI|NO|NO|NO|09:00|15:00
ASSMP001351|SI|NO|NO|NO|NO|NO|SI|15:00|21:00
ASSMP001363|NO|SI|SI|SI|SI|SI|SI|15:00|21:00
ASSMP001375|NO|SI|SI|SI|SI|SI|NO|09:00|15:00
ASSMP001380|NO|NO|NO|NO|NO|NO|SI|09:00|15:00
ASSMP001392|NO|SI|SI|SI|SI|SI|SI|09:00|15:00
ASSMP001404|NO|SI|SI|SI|SI|SI|SI|09:00|15:00
ASSMP001416|NO|SI|SI|SI|SI|SI|SI|09:00|15:00
