$T_munid,$T_munnombre,$T_direccion
1!CORREGIDORA!Av Hidalgo No. 78,El Pueblito, Corregidora, Quer̩taro, Tels.2259229, 2259213 CP. 76900!
2!EL MARQUES!Av Hidalgo No. 78,El Pueblito, Corregidora, Quer̩taro, Tels.2259229, 2259213 CP. 76900!
